Source,Target,Capacity/Mbps,Ping/ms,Jitter/ms,Link Type
S_Backbone,Santral_Bahce,10000,6,2,Fiber
S_Backbone,Santral_Duzici,10000,4,1,Fiber
S_Backbone,Santral_Hasanbeyli,10000,12,3.8,Copper
S_Backbone,Santral_Kadirli,10000,5,1.2,fiber
S_Backbone,Santral_Sumbas,10000,14,4.2,Radio
S_Backbone,Santral_Toprakkale,10000,4,1,Fiber
Santral_Bahce,Bahce,750,8,2.5,Fiber
Santral_Duzici,Duzici,950,4,1.2,Fiber
Santral_Hasanbeyli,Hasanbeyli,300,16,4.5,Radio
Santral_Kadirli,Kadirli,1000,3,0.9,Fiber
Santral_Sumbas,Sumbas,250,17,4.8,Radio
Santral_Toprakkale,Toprakkale,950,4,1.1,Fiber
Santral_Bahce,Santral_Duzici,400,9,2.8,Copper
Santral_Hasanbeyli,Santral_Bahce,300,13,3.5,Copper
Santral_Kadirli,Santral_Sumbas,200,15,4.5,Radio
